Item,Numberin stock,Pricesold at,Pricebought at,GE price
Dragon longsword,2,100000,60000,59670
Dragon mace,2,50000,30000,30122
Dragon battleaxe,2,200000,120000,119531
Pot,5,1,??,5
Jug,2,1,??,3
Empty jug pack,7,182,??,Not sold
Shears,2,1,??,27
Bucket,3,2,??,6
Bowl,2,5,??,33
Cake tin,2,13,??,62
Tinderbox,2,1,??,73
Chisel,2,1,??,69
Hammer,2,1,??,41
Butterfly net,5,24,14,4
Butterfly jar,100,1,0,150
Magic box,30,720,420,460
Noose wand,50,4,2,2
Bird snare,50,6,3,8
Box trap,25,38,22,47
Teasing stick,5,60,35,3
Unlit torch,20,4,2,2
Rabbit snare,10,18,10,2
Bird snare pack,3,606,353,Not sold
Box trap pack,3,3840,2240,Not sold
Magic imp box pack,3,72000,42000,Not sold
Bone club,10,600,360,392
Bone spear,10,600,360,531
Bone dagger,5,2000,1200,2596
Dorgeshuun crossbow,5,2000,1200,2895
Bone bolts,1000,3,1,6
Bone bolt pack,80,350,210,Not sold
Bread,10,12,6,163
Cake,3,50,27,168
Chocolate slice,8,30,16,Not sold
Waterskin (4),50,30,16,99
Team-7 cape,100,50,30,288
Team-17 cape,100,50,30,444
Team-27 cape,100,50,30,400
Team-37 cape,100,50,30,432
Team-47 cape,100,50,30,324
Knife,10,6,1,96
Hammer,10,1,0,41
Thread,10,1,0,9
Needle,10,1,0,49
Bronze axe,10,16,4,9
Ball of wool,100,2,0,55
Bronze pickaxe,6,1,0,71
Iron pickaxe,5,140,84,246
Steel pickaxe,4,500,300,855
Mithril pickaxe,3,1300,780,505
Adamant pickaxe,2,3200,1920,3917
Rune pickaxe,1,32000,19200,18897
Tinderbox,2,1,0,73
Vial,10,3,1,3
Empty vial pack,100,300,100,Not sold
Pestle and mortar,3,6,2,596
Pot,3,1,0,5
Bronze axe,3,24,8,9
Bronze pickaxe,2,1,0,71
Iron axe,5,84,28,5
Leather body,12,31,10,4
Leather gloves,10,9,3,2
Leather boots,10,9,2,18
Cooked meat,2,6,2,31
Bread,10,18,6,163
Bronze bar,10,12,4,138
Spade,10,4,1,143
Candle,10,4,1,209
Unlit torch,10,6,2,2
Chisel,10,1,0,69
Hammer,10,1,0,41
Papyrus,10,15,5,201
Charcoal,10,67,22,344
Vial of water,10,3,1,4
Water-filled vial pack,50,301,100,Not sold
Machete,50,60,20,259
Rope,10,27,9,57
Bronze javelin,500,4,2,2
Iron javelin,500,6,3,4
Steel javelin,500,24,14,12
Mithril javelin,500,64,38,41
Adamant javelin,500,160,96,71
Rune javelin,500,400,240,158
Copper ore,100,4,1,55
Tin ore,100,4,1,56
Iron ore,100,25,6,131
Mithril ore,100,243,64,182
Silver ore,100,112,30,81
Gold ore,100,225,60,366
Coal,100,67,18,221
Copper ore,20,3,2,55
Tin ore,10,3,2,56
Iron ore,10,18,11,131
Silver ore,5,82,52,81
Coal,10,49,31,221
Gold ore,5,165,105,366
Mithril ore,0,178,113,182
Adamantite ore,0,440,280,1069
Rune platebody,2,84500,26000,38676
Green d'hide body,2,10140,3120,4336
Anti-dragon shield,35,26,8,59
Bronze pickaxe,6,1,1,71
Steel pickaxe,4,650,166,855
Mithril pickaxe,3,1690,433,505
Adamant pickaxe,2,4160,1066,3917
Rune pickaxe,1,41600,10666,18897
Pie recipe book,50,5,,50
Redberry pie,5,12,,96
Meat pie,4,15,,104
Mud pie,0,54,,419
Apple pie,3,30,,187
Garden pie,2,24,,81
Fish pie,1,100,,67
Admiral pie,0,310,,256
Wild pie,0,182,,1044
Summer pie,0,140,,1030
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,5,140,??,Not sold
Waterskin (3),20,27,9,Not sold
Desert shirt,3,40,13,157
Desert boots,2,20,6,147
Bucket,12,2,1,6
Fake beard,11,1,0,271
Kharidian headpiece,12,1,0,271
Cheese,5,4,,57
Lime,5,2,,63
Tomato,5,4,,77
Jug of water,5,1,1,20
Bowl of water,7,4,1,36
Bucket of water,8,6,2,19
Pot,100,1,1,5
Bucket,100,2,1,6
Shears,10,1,1,27
Jug,10,1,1,3
Empty jug pack,5,182,56,Not sold
Tinderbox,10,1,1,73
Chisel,10,14,4,69
Hammer,10,13,3,41
Steel chainbody,3,750,225,262
Mithril chainbody,1,1950,585,911
Black chainbody,1,1440,432,1885
Adamant chainbody,1,4800,1440,2649
Steel med helm,3,300,90,42
Mithril med helm,1,1014,234,304
Adamant med helm,1,2496,576,901
Steel sq shield,0,600,180,204
Black kiteshield,0,2121,636,2291
Steel battleaxe,10,650,216,187
Mithril battleaxe,10,1690,563,760
Mithril sword,10,845,281,288
Adamant sword,10,2080,693,1143
Steel scimitar,10,400,133,57
Black longsword,10,960,320,403
Rune longsword,10,42560,10666,18846
Maple shortbow,10,400,133,197
Maple longbow,10,640,213,230
Mithril arrow,100,76,25,41
Adamant arrow,100,172,57,67
Pot,5,1,0,5
Jug,2,1,0,3
Shears,3,1,0,27
Tinderbox,3,1,0,73
Bread,10,15,5,163
Bronze halberd,10,104,32,263
Iron halberd,10,364,112,667
Steel halberd,10,1300,400,13643
Black halberd,10,2496,768,7779
Mithril halberd,7,3380,1040,9420
Adamant halberd,7,8320,2560,11112
Rune halberd,7,83200,25600,39337
Dragon halberd,5,325000,100000,149498
Linen,20,30,22,825
Desert shirt,20,40,30,157
Desert robe,20,40,30,114
Desert boots,20,20,15,147
Silk,10,30,22,26
Thread,50,1,0,9
Needle,20,1,0,49
Bronze plateskirt,5,80,24,26
Iron plateskirt,3,280,84,73
Steel plateskirt,2,1000,300,393
Black plateskirt,1,1920,576,2382
Mithril plateskirt,1,2600,780,1404
Adamant plateskirt,1,6400,1920,3814
Spinach roll,1,2,0,135
Cocktail guide,1,4,0,2
Blue hat,1,320,16,633
Dragon dagger,1,60000,3000,17657
Newcomer map,1,2,0,Not sold
Bailing bucket,1,20,1,Not sold
Swamp paste,1,60,3,98
Poison,1,2,0,330
Papyrus,1,20,1,201
Machete,1,80,4,259
Holy mould,1,10,0,17
Sickle mould,1,20,1,48
Waterskin (4),1,60,3,99
Desert boots,1,40,2,147
Shantay pass,1,10,0,8
Black toy horsey,1,200,10,178
Sample bottle,1,10,0,Not sold
Grey boots,1,1000,50,944
Greenman's ale,1,4,0,545
Fremennik pink cloak,1,500,25,854
Keg of beer,1,500,25,1171
Flamtaer hammer,1,20000,1000,8177
Olive oil(3),1,40,2,41
Limestone brick,1,40,2,262
Instruction manual,1,20,Not sold,Not sold
Limestone,1000,10,9,103
Limestone brick,1000,21,19,262
Timber beam,1000,1,0,17
Swamp paste,1000,31,28,98
Plank,10,1,0,327
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Olive oil(4),150,26,8,19
Olive oil pack,20,3471,1148,Not sold
Vial of water,100,2,0,4
Water-filled vial pack,50,261,80,Not sold
Pot of flour,100,13,4,183
Flamtaer hammer,3,13000,4333,8177
Vial of water,30,2,,4
Water-filled vial pack,25,281,,Not sold
Rope,10,25,,57
Fire rune,500,5,2.0,5
Water rune,500,5,2.0,5
Air rune,500,5,2.0,5
Earth rune,500,5,2.0,5
Mind rune,300,4,1.0,4
Body rune,300,4,1.0,5
Blood rune,50,560,,303
Soul rune,50,420,,147
Fire rune pack,80,602,,Not sold
Water rune pack,80,602,,Not sold
Air rune pack,80,602,,Not sold
Earth rune pack,80,602,,Not sold
Mind rune pack,40,462,,Not sold
Blue wizard hat,1,2,1.0,210
Wizard hat,1,2,1.0,174
Eye of newt,300,4,1.0,4
Eye of newt pack,60,420,,Not sold
Frog-leather body,50,1000,400,1566
Frog-leather chaps,50,900,360,1178
Frog-leather boots,50,200,80,739
Rake,500,6,4.0,190
Seed dibber,500,6,4.0,201
Secateurs,500,5,3.0,196
Spade,500,3,2.0,143
Gardening trowel,500,12,8.0,191
Watering can,500,8,5.0,186
Plant pot,500,1,0.0,5
Plant pot pack,30,100,70.0,Not sold
Compost,500,20,14.0,25
Compost pack,10,2000,1400.0,Not sold
Empty sack,500,1,0.0,2
Sack pack,30,100,70.0,Not sold
Basket,500,1,0.0,2
Basket pack,30,100,70.0,Not sold
Potato,0,1,0.0,28
Onion,0,3,,25
Cabbage,0,1,,27
Tomato,0,4,,77
Sweetcorn,0,9,,162
Strawberry,0,17,,157
watermelon,0,48,,14
Hammerstone hops,0,4,,92
Asgarnian hops,0,5,,180
Yanillian hops,0,7,,1330
Krandorian hops,0,10,,250
Wildblood hops,0,15,,189
Jute fibre,0,6,,965
Barley,0,4,,556
Plant cure,100,40,28.0,212
Team-6 cape,100,50,30,47
Team-16 cape,100,50,30,71
Team-26 cape,100,50,30,69
Team-36 cape,100,50,30,32
Team-46 cape,100,50,30,65
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Newcomer map,5,1,0,Not sold
Security book,5,2,0,22
Choc-ice,30,30,19,90
Chocolate bar,25,10,6,83
Chisel,2,1,0,69
Ring mould,4,5,3,15
Necklace mould,2,5,3,48
Amulet mould,2,5,3,32
Needle,3,1,0,49
Thread,100,1,0,9
Holy mould,3,5,3,17
Sickle mould,6,10,6,48
Tiara mould,10,100,65,87
Bolt mould,10,25,16,14
Bracelet mould,5,5,3,373
Raw beef,10,1,0,45
Raw chicken,10,1,0,37
Raw rat meat,10,1,0,32
Raw bear meat,10,1,0,213
Raw trout,5,26,14,20
Raw pike,5,32,17,50
Raw salmon,5,65,35,53
Raw shark,1,390,210,838
Team-10 cape,100,50,30,249
Team-20 cape,100,50,30,299
Team-30 cape,100,50,30,315
Team-40 cape,100,50,30,275
Team-50 cape,100,50,30,257
Rake,500,6,4.0,190
Seed dibber,500,6,4.0,201
Secateurs,500,5,3.0,196
Spade,500,3,2.0,143
Gardening trowel,500,12,8.0,191
Watering can,500,8,5.0,186
Plant pot,500,1,0.0,5
Plant pot pack,30,100,70.0,Not sold
Compost,500,20,14.0,25
Compost pack,10,2000,1400.0,Not sold
Empty sack,500,1,0.0,2
Sack pack,30,100,70.0,Not sold
Basket,500,1,0.0,2
Basket pack,30,100,70.0,Not sold
Potato,0,1,0.0,28
Onion,0,3,,25
Cabbage,0,1,,27
Tomato,0,4,,77
Sweetcorn,0,9,,162
Strawberry,0,17,,157
Watermelon,0,48,,14
Hammerstone hops,0,4,,92
Asgarnian hops,0,5,,180
Yanillian hops,0,7,,1330
Krandorian hops,0,10,,250
Wildblood hops,0,15,,189
Jute fibre,0,6,,965
Barley,0,4,,556
Plant cure,100,40,28.0,212
Rune plateskirt,1,64000,38400,37984
Rune platelegs,1,64000,38400,37992
Rune mace,1,14400,8640,8381
Rune chainbody,1,50000,30000,29649
Rune longsword,1,32000,19200,18846
Rune sword,1,20800,12480,12217
Green d'hide chaps,1,3900,2340,2105
Green d'hide vamb,1,2500,1500,1258
Coif,2,200,120,15
Rune plateskirt,1,60800,,37984
Rune platelegs,1,60800,41600.0,37992
Rune chainbody,1,47500,33500.0,29649
Green d'hide chaps,1,3705,2613.0,2105
Green d'hide vamb,1,2375,,1258
Steel kiteshield,1,807,,263
Black med helm,1,547,,230
Waterskin (4),100,30,21,99
Waterskin (0),100,15,10,48
Jug of water,10,1,0,20
Bowl of water,10,4,2,36
Bucket of water,10,6,4,19
Knife,10,6,4,96
Desert shirt,10,40,28,157
Desert robe,10,40,28,114
Desert boots,10,20,14,147
Bronze bar,10,8,5,138
Feather,500,2,1,3
Feather pack,50,200,140,Not sold
Hammer,10,1,0,41
Bucket,0,2,1,6
Bowl,0,4,2,33
Jug,0,1,0,3
Empty jug pack,0,140,98,Not sold
Shantay pass,500,5,3,8
Rope,20,18,12,57
Rotten tomato,2000,1,0,Not sold
Herring,5,19,11,4
Cod,5,32,18,27
Tuna,5,130,75,85
Lobster,3,195,112,191
Swordfish,2,260,150,394
Cooked karambwan,3,325,187,621
Tinderbox,2,1,0,73
Rope,10,23,9,57
Pestle and mortar,3,5,2,596
Pot,3,1,0,5
Cooked meat,2,5,2,31
Bread,10,15,6,163
Spade,10,3,1,143
Candle,10,3,1,209
Chisel,10,1,0,69
Hammer,10,1,0,41
Vial,10,2,1,3
Empty vial pack,10,260,100,Not sold
Vial of water,10,2,1,4
Water-filled vial pack,10,261,100,Not sold
Bucket,10,2,1,6
Bucket of water,10,7,3,19
Egg,10,5,2,50
Potato,10,1,0,28
Cabbage,10,1,0,27
Silk,10,21,60,26
Unstrung symbol,2,300,160,92
Silver ore,1,112,60,81
Silver bar,1,225,120,93
Team-9 cape,100,50,30,248
Team-19 cape,100,50,30,344
Team-29 cape,100,50,30,345
Team-39 cape,100,50,30,321
Team-49 cape,100,50,30,305
Bronze warhammer,5,61,??,3
Iron warhammer,4,224,??,17
Steel warhammer,3,832,??,175
Black warhammer,3,1274,??,377
Mithril warhammer,2,2158,??,732
Adamant warhammer,1,5356,??,2201
Rune warhammer,0,53950,??,24696
Archer helm,5,78000,42000,47157
Berserker helm,5,78000,42000,48878
Warrior helm,5,78000,42000,46623
Farseer helm,5,78000,42000,42450
Bronze scimitar,5,32,10,4
Iron scimitar,3,112,37,8
Steel scimitar,2,400,133,57
Mithril scimitar,1,1040,346,407
Hammer,5,1,0,41
Monkey nuts,200,3,1,287
Banana,1000,2,1,88
Banana stew,10,300,150,6
Monkey bar,20,50,25,569
Pot,5,1,0,5
Gnome spice,10,3,0,171
Curry leaf,0,28,7,185
Pile of salt,0,30,5,40
Bucket of sap,0,45,7,270
Antipoison(3),20,432,72,240
Bronze spear(kp),10,26,,Not sold
Iron spear(kp),10,91,,Not sold
Steel spear(kp),5,325,,Not sold
Mithril spear(kp),2,845,,Not sold
Adamant spear(kp),0,2080,,Not sold
Rune spear(kp),0,20800,,Not sold
Cleaning cloth,10,60,45.0,318
Beer,83,2,1,78
Whisky,10,5,1,44
Jug of wine,13,1,0,3
Vodka,5,5,1,283
Brandy,4,5,1,32
Grog,12,3,1,655
Beer,10,2,,78
Dwarven stout,1,2,,92
Dragon bitter,3,2,,282
Kebab,2,4,,48
Beer glass,0,2,,31
Beer,10,2,,78
Cider,10,2,,879
Jug of wine,5,1,,3
Cup of tea,5,10,,19
Beer,10,2,,78
Cider,10,2,,879
Jug of wine,5,1,,3
Cup of tea,5,10,,19
Rope,10,18,6,57
Hammer,10,13,4,41
Chisel,10,14,4,69
Knife,10,16,5,96
Spade,10,3,1,143
Tinderbox,5,1,1,73
Candle,10,3,1,209
Poison,10,3,1,330
Pestle and mortar,10,4,1,596
Pot,30,1,1,5
Bucket,5,1,1,6
Bucket of water,5,6,2,19
Jug,5,1,1,3
Empty jug pack,8,154,??,Not sold
Jug of water,5,1,1,20
Vial,100,2,1,3
Empty vial pack,100,220,??,Not sold
Vial of water,100,2,??,4
Water-filled vial pack,100,221,??,Not sold
Gin,5,5,1,38
Brandy,5,5,1,32
Vodka,5,5,1,283
Grog,5,3,1,655
Whisky,5,5,1,44
Greenman's ale,5,2,1,545
Dwarven stout,5,2,1,92
Wizard's mind bomb,5,2,1,88
Beer,3,2,1,78
Braindeath 'rum',3,30,No,Not sold
Jug of wine,1,1,0,3
Stew,5,20,12,157
White apron,3,2,1,28
Leather body,12,21,11,4
Leather gloves,10,6,3,2
Leather boots,10,6,3,18
Brown apron,1,2,1,100
Pink skirt,5,2,1,57
Black skirt,3,2,1,35
Blue skirt,2,2,1,102
Red cape,4,2,1,34
Silk,5,30,16,26
Priest gown (bottom),3,5,2,38
Priest gown (top),3,5,2,38
Dynamite,1000,1150,50,351
Tinderbox,2,11,??,73
Fire rune,5000,4,2.0,5
Water rune,5000,4,2.0,5
Air rune,5000,4,2.0,5
Earth rune,5000,4,2.0,5
Mind rune,5000,3,1.0,4
Body rune,5000,3,1.0,5
Chaos rune,250,90,,101
Death rune,150,267,,270
Fire rune pack,80,430,,Not sold
Water rune pack,80,430,,Not sold
Air rune pack,80,430,,Not sold
Earth rune pack,80,430,,Not sold
Mind rune pack,40,330,,Not sold
Chaos rune pack,35,9950,,Not sold
Raw karambwan,10,110,90.0,541
Raw karambwanji,50,10,,Not sold
Karambwan vessel,2,2,2.0,1033
Pizza base,30,4,2,247
Bronze pickaxe,5,1,,71
Iron pickaxe,3,182,,246
Steel pickaxe,3,650,,855
Mithril pickaxe,2,1690,,505
Adamant pickaxe,1,4160,,3917
Rune pickaxe,1,41600,17600.0,18897
Pot,50000,1,0.0,5
Pot,5,2,0,5
Jug,2,2,0,3
Shears,2,2,0,27
Bucket,3,5,0,6
Bowl,2,10,1,33
Cake tin,2,25,4,62
Tinderbox,3,2,0,73
Chisel,2,2,0,69
Hammer,5,2,0,41
Newcomer map,5,2,0,Not sold
Security book,5,15,0,22
Rope,2,45,3,57
Knife,2,5,0,96
Pineapple,15,5,0,178
Banana,15,5,0,88
Orange,10,5,0,109
Bucket of slime,10,2,No,Not sold
Glassblowing pipe,10,5,0,163
Bucket of sand,10,5,0,74
Seaweed,20,5,0,58
Soda ash,10,5,0,103
Lobster pot,20,50,3,224
Fishing rod,20,12,0,93
Swamp paste,30,75,4,98
Tyras helm,25,1375,82,1675
Raw rabbit,20,50,3,241
Right eye patch,5,5,0,267
Citizen top,10,6,2,2493
Citizen trousers,10,6,2,3697
Citizen shoes,10,6,2,3803
Vyrewatch top,10,650,260,2044
Vyrewatch legs,10,650,260,2050
Vyrewatch shoes,10,650,260,2881
Fire rune,1000,17,5,5
Water rune,1000,17,5,5
Air rune,1000,17,5,5
Earth rune,1000,17,5,5
Law rune,250,240,126,300
Eye of gnome,10,3,1,Not sold
Monkey dentures,10,10,3,Not sold
Monkey talisman,10,1000,333,Not sold
Raw shrimps,10,5,3,12
Raw sardine,10,10,6,18
Raw herring,7,15,9,34
Raw mackerel,7,17,10,67
Raw cod,6,25,15,120
Raw anchovies,5,15,9,48
Raw tuna,4,100,60,91
Raw lobster,2,150,90,218
Raw bass,2,120,72,211
Raw swordfish,1,200,120,402
Bucket,1000,2,1,6
Small fishing net,5,5,3,90
Big fishing net,5,20,14,289
Fishing rod,5,5,4,93
Harpoon,2,5,3,82
Lobster pot,2,20,14,224
Fishing bait,1200,3,2,4
Sandworms,500,90,76,98
Bait pack,80,300,210,Not sold
Sandworms pack,50,9000,7650,Not sold
Tin ore,25,4,0,56
Copper ore,25,4,0,55
Iron ore,15,25,2,131
Silver ore,12,112,11,81
Coal,20,67,6,221
Gold ore,12,225,22,366
Mithril ore,4,243,24,182
Adamantite ore,2,600,60,1069
Runite ore,1,4800,480,10746
Uncut sapphire,10,37,3,1025
Uncut emerald,7,75,7,1021
Uncut ruby,4,150,15,1831
Uncut diamond,2,300,30,3778
Uncut dragonstone,0,1500,150,15070
Uncut onyx,1,300000,30000,3052560
Onyx bolt tips,50,1500,150,8252
Relicym's balm(3),100,200,60,468
Sanfew serum(3),0,240,72,13243
Achey tree logs,100,4,2,244
Bow string,10,10,6,165
Raw chompy,0,85,25,1320
Cooked chompy,10,130,39,24
Ogre coffin key,0,100,30,2109
Knife,5,6,3,96
Bronze brutal,0,5,1,100
Iron brutal,0,10,3,113
Steel brutal,0,20,6,129
Black brutal,0,35,10,168
Mithril brutal,0,50,15,177
Adamant brutal,0,95,28,307
Rune brutal,0,450,135,1020
Comp ogre bow,0,180,54,1122
Blue cape,2,41,12,278
Black full helm,1,1372,422,1230
Black platelegs,1,2496,767,2258
Adamant platebody,1,21632,5120,9647
Rake,500,6,4,190
Seed dibber,500,6,4,201
Secateurs,500,5,3,196
Spade,500,3,2,143
Gardening trowel,500,12,8,191
Watering can,500,8,5,186
Filled plant pot,500,1,0,4
Plant pot pack,30,100,70,Not sold
Compost,500,20,14,25
Compost pack,10,2000,1400,Not sold
Empty sack,500,1,0,Not sold
Sack pack,30,100,70,Not sold
Basket,500,1,0,2
Basket pack,30,100,70,Not sold
Potato,0,1,??,28
Onion,0,3,,25
Cabbage,0,1,,27
Tomato,0,4,,77
Sweetcorn,0,9,,162
Strawberry,0,17,,157
watermelon,0,48,,14
Hammerstone hops,0,4,,92
Asgarnian hops,0,5,,180
Yanillian hops,0,7,,1330
Krandorian hops,0,10,,250
Wildblood hops,0,15,,189
Jute fibre,0,6,,965
Barley,0,4,,556
Plant cure,100,40,28,212
Rake,5,6,4,190
Seed dibber,5,6,4,201
Secateurs,5,5,3,196
Spade,5,3,2,143
Gardening trowel,5,12,8,191
Watering can,5,8,5,186
Filled plant pot,100,1,0,4
Plant pot pack,10,100,70,Not sold
Compost,100,20,14,25
Compost pack,10,2000,1400,Not sold
Bucket,100,1,0,6
Empty sack,100,1,0,2
Sack pack,30,100,70,Not sold
Basket,100,1,0,2
Basket pack,30,100,70,Not sold
Plant cure,40,40,28,212
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Newcomer map,5,1,0,Not sold
Security book,5,2,0,22
Bronze sword,5,26,15,5
Iron sword,4,91,54,11
Steel sword,4,325,195,52
Black sword,3,624,374,207
Mithril sword,3,845,507,288
Adamant sword,2,2080,1248,1143
Bronze longsword,4,40,24,4
Iron longsword,3,140,84,14
Steel longsword,3,500,300,115
Black longsword,2,960,576,403
Mithril longsword,2,1300,780,567
Adamant longsword,1,3200,1920,1693
Bronze dagger,10,10,6,6
Iron dagger,6,35,21,3
Steel dagger,5,125,75,16
Black dagger,4,240,144,191
Mithril dagger,3,325,195,77
Adamant dagger,2,800,480,321
Skirt (brown),3,455,192,2036
Trousers (brown),3,715,302,1987
Shorts (brown),3,364,154,1816
Woven top (brown),3,650,275,2403
Shirt (brown),3,585,247,2046
Silk,5,39,16,26
Bronze warhammer,5,61,25,3
Iron warhammer,4,224,94,17
Steel warhammer,3,832,352,175
Black warhammer,3,1274,539,377
Mithril warhammer,2,2158,913,732
Adamant warhammer,1,5356,2266,2201
Bronze javelin,10,4,2,2
Iron javelin,10,6,3,4
Steel javelin,10,24,14,12
Mithril javelin,5,64,38,41
Adamant javelin,5,160,96,71
Rune javelin,5,400,240,158
Bronze arrowtips,10,1,0,4
Iron arrowtips,10,2,1,13
Steel arrowtips,10,6,3,39
Mithril arrowtips,5,16,9,59
Adamant arrowtips,5,40,24,134
Rune arrowtips,5,200,120,285
Pot,2,1,0,5
Jug,2,11,0,3
Empty jug pack,5,182,56,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Bronze axe,10,20,6,9
Field ration,25,390,120,Not sold
Fire rune,5000,4,2,5
Water rune,5000,4,2,5
Air rune,5000,4,2,5
Earth rune,5000,4,2,5
Mind rune,5000,3,1,4
Body rune,5000,3,2,5
Chaos rune,250,90,54,101
Death rune,250,180,108,270
Fire rune pack,80,430,236,Not sold
Water rune pack,80,430,236,Not sold
Air rune pack,80,430,236,Not sold
Earth rune pack,80,430,236,Not sold
Mind rune pack,40,330,181,Not sold
Chaos rune pack,35,9950,5472,Not sold
Small fishing net,5,5,3,90
Fishing rod,5,5,3,93
Fly fishing rod,5,5,3,94
Harpoon,2,5,3,82
Lobster pot,2,20,14,224
Fishing bait,1500,3,2,4
Bait pack,80,300,210,Not sold
Feather,1000,2,1,3
Feather pack,50,260,140,Not sold
Raw shrimps,0,5,,12
Raw sardine,200,10,7,18
Raw herring,0,15,,34
Raw anchovies,0,15,,48
Raw trout,0,20,,20
Raw pike,0,25,,50
Raw salmon,0,50,,53
Raw tuna,0,100,60-10,91
Raw lobster,0,150,105,218
Raw swordfish,0,200,,402
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,2,2,0,6
Bowl,2,5,1,33
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Spade,5,3,1,143
Knife,4,7,2,96
Iron battleaxe,5,218,109,14
Steel battleaxe,2,780,390,187
Mithril battleaxe,1,2028,1014,760
Bronze sword,5,31,15,5
Iron sword,4,109,54,11
Steel sword,4,390,195,52
Black sword,3,748,374,207
Mithril sword,3,1014,507,288
Adamant sword,2,2496,1248,1143
Bronze longsword,4,48,24,4
Iron longsword,3,168,84,14
Steel longsword,3,600,300,115
Black longsword,2,1152,576,403
Mithril longsword,2,1560,780,567
Adamant longsword,1,3840,1920,1693
Bronze dagger,10,12,6,6
Iron dagger,6,42,21,3
Steel dagger,5,150,75,16
Black dagger,4,288,144,191
Mithril dagger,3,390,195,77
Adamant dagger,2,960,480,321
Bronze mace,5,21,10,3
Iron mace,4,75,37,10
Steel mace,4,270,135,28
Mithril mace,3,702,351,147
Adamant mace,2,1728,864,609
Bronze 2h sword,4,96,48,11
Iron 2h sword,3,336,168,28
Steel 2h sword,2,1200,600,367
Black 2h sword,1,2304,1152,976
Mithril 2h sword,1,3120,1560,1302
Adamant 2h sword,1,7680,3840,3597
Bronze chainbody,5,72,36,7
Iron chainbody,3,252,126,71
Steel chainbody,3,900,450,262
Bronze med helm,5,28,14,14
Iron med helm,3,100,50,9
Steel med helm,3,360,180,42
Trout,10,24,3,19
Bass,10,144,18,194
Plain pizza,5,47,6,545
Potato with cheese,10,9,1,423
Stew,10,24,3,157
Strength potion(3),10,15,1,268
Attack potion(3),10,14,1,2
Defence potion(3),10,144,18,353
Bronze chainbody,3,60,39,7
Iron chainbody,2,210,136,71
Steel chainbody,1,750,487,262
Black chainbody,1,1440,936,1885
Mithril chainbody,1,1950,1267,911
Adamant chainbody,1,4800,3120,2649
Mithril longsword,4,1430,910,567
Mithril warhammer,4,1826,1162,732
Mithril battleaxe,4,1859,1183,760
Mithril claws,4,522,332,212
Mithril 2h sword,4,2860,1820,1302
Pot,3,1,0,5
Rope,3,21,9,57
Bronze pickaxe,2,1,0,71
Bucket,2,2,1,6
Tinderbox,2,1,0,73
Hammer,3,1,0,41
Leather boots,2,7,3,18
Longbow,2,96,44,58
Bronze arrow,20,1,0,7
Salmon,10,60,27,45
Meat pie,10,18,8,104
Bread,5,14,6,163
Cooked meat,10,4,2,31
Team-1 cape,100,50,30,520
Team-11 cape,100,50,30,488
Team-21 cape,100,50,30,511
Team-31 cape,100,50,30,436
Team-41 cape,100,50,30,499
Pot of flour,3,10,7,183
Raw beef,1,1,0,45
Raw chicken,1,1,0,37
Cabbage,3,1,0,27
Banana,3,2,1,88
Redberries,1,3,2,74
Bread,0,12,8,163
Chocolate bar,1,10,7,83
Cheese,3,4,2,57
Tomato,3,4,2,77
Potato,1,1,0,28
Bronze pickaxe,6,1,??,71
Iron pickaxe,5,140,??,246
Steel pickaxe,4,500,??,855
Mithril pickaxe,3,1300,??,505
Adamant pickaxe,2,3200,??,3917
Rune pickaxe,1,32000,??,18897
Cup of tea,20,10,6,19
Fremennik blue shirt,5,325,175,934
Fremennik red shirt,5,325,175,1199
Fremennik brown shirt,5,325,175,271
Fremennik grey shirt,5,325,175,1251
Fremennik beige shirt,5,325,175,1142
Fremennik robe,5,650,390,1172
Fremennik skirt,5,650,390,963
Fremennik hat,5,650,390,1709
Fremennik boots,5,650,390,342
Fremennik gloves,5,650,390,517
Fremennik green cloak,5,325,150,1271
Fremennik blue cloak,5,325,150,1329
Fremennik brown cloak,5,325,150,266
Fremennik cyan cloak,5,325,150,1180
Fremennik red cloak,5,325,150,1143
Fremennik grey cloak,5,325,150,1376
